Price,Apartment type,Metro station,Minutes to metro,Region,Number of rooms,Area,Living area,Kitchen area,Floor,Number of floors,Renovation
6300000,Secondary, Опалиха,6,Moscow region,1,30.6,11.1,8.5,25,25,Cosmetic
9000000,Secondary, Павшино,2,Moscow region,1,49.2,20,10,6,15,European-style renovation
11090000,Secondary, Мякинино,14,Moscow region,1,44.7,16.2,13.1,10,25,Cosmetic
8300000,Secondary, Строгино,8,Moscow region,1,35.1,16,11,12,33,European-style renovation
6450000,Secondary, Опалиха,6,Moscow region,1,37.7,15.2,4,5,5,Without renovation
7150000,Secondary, Опалиха,6,Moscow region,1,38.4,18,8,8,18,European-style renovation
7400000,Secondary, Нахабино,11,Moscow region,1,33,16,8,7,7,European-style renovation
7500000,Secondary, Строгино,27,Moscow region,1,25,14.8,8.7,16,34,European-style renovation
7800000,Secondary, Красногорская,6,Moscow region,1,41.8,18,10,6,17,Cosmetic
7999999,Secondary, Тушинская,35,Moscow region,1,44,19,11,11,24,Designer
9000000,Secondary, Аникеевка,17,Moscow region,1,44.8,15,10.3,5,6,European-style renovation
12300000,Secondary, Волоколамская,16,Moscow region,1,39,21.9,9.9,26,30,Designer
14000000,Secondary, Волоколамская,12,Moscow region,1,48,23,9,12,28,Designer
6000000,Secondary, Павшино,3,Moscow region,1,33.8,17,7,4,9,Without renovation
6200000,Secondary, Красногорская,19,Moscow region,1,32.7,18,6,9,9,European-style renovation
6300000,Secondary, Красногорская,19,Moscow region,1,32.1,18.4,9.3,2,9,Without renovation
6500000,Secondary, Опалиха,7,Moscow region,1,34.9,17,9,2,14,Cosmetic
6800000,Secondary, Опалиха,7,Moscow region,1,38,17.4,9,8,14,European-style renovation
7350000,Secondary, Опалиха,6,Moscow region,1,40,16.1,9.8,17,24,European-style renovation
8100000,Secondary, Красногорская,6,Moscow region,1,47.6,26,12,8,11,Cosmetic
8200000,Secondary, Опалиха,12,Moscow region,1,32.5,18.6,9.3,1,8,Designer
8600000,Secondary, Строгино,8,Moscow region,1,36.5,13,15,23,33,Designer
9200000,Secondary, Опалиха,5,Moscow region,1,33.75,16.5,8.6,3,8,Designer
9300000,Secondary, Волоколамская,15,Moscow region,1,39.1,18,11,17,29,Without renovation
10099000,Secondary, Мякинино,16,Moscow region,1,38,21.3,9.8,6,19,Designer
11000000,Secondary, Строгино,11,Moscow region,1,50.8,23.2,11.6,14,22,Cosmetic
14000000,Secondary, Мякинино,16,Moscow region,1,38.1,21.4,9.8,5,19,Designer
7800000,Secondary, Опалиха,6,Moscow region,1,39.5,16.6,12,20,26,European-style renovation
7750000,Secondary, Опалиха,7,Moscow region,1,39.5,14,14.1,2,26,European-style renovation
8300000,Secondary, Опалиха,5,Moscow region,1,44,18,11.6,10,25,Cosmetic
8500000,Secondary, Пенягино,16,Moscow region,1,32.1,9,18,23,45,European-style renovation
9400000,Secondary, Пенягино,9,Moscow region,1,42,9,10.1,4,23,Cosmetic
9500000,Secondary, Мякинино,20,Moscow region,1,37.7,18.9,7.4,8,17,Without renovation
9600000,Secondary, Мякинино,20,Moscow region,1,38.6,21.6,9.8,16,17,Cosmetic
9700000,Secondary, Митино,7,Moscow region,1,42.3,23.5,10.1,7,17,European-style renovation
10300000,Secondary, Строгино,8,Moscow region,1,38.6,17,12,16,32,European-style renovation
11000000,Secondary, Мякинино,15,Moscow region,1,43,19.6,5,3,17,European-style renovation
11680000,Secondary, Пенягино,16,Moscow region,1,36.5,20.6,9.7,5,45,Designer
11900000,Secondary, Павшино,2,Moscow region,1,28,18,7,12,31,Designer
4200000,Secondary, Красногорская,36,Moscow region,1,18.3,13,2.3,5,5,Cosmetic
5250000,Secondary, Павшино,6,Moscow region,1,31,18,6,1,4,Cosmetic
5450000,Secondary, Красногорская,13,Moscow region,1,31,18,6,5,5,Cosmetic
5700000,Secondary, Опалиха,29,Moscow region,1,45,28,7,1,3,Cosmetic
5790000,Secondary, Опалиха,7,Moscow region,1,26.6,16.5,5,23,26,European-style renovation
5800000,Secondary, Павшино,5,Moscow region,1,32.5,20,7,7,9,Cosmetic
5800000,Secondary, Павшино,12,Moscow region,1,28.3,17,6,3,5,Without renovation
5840000,Secondary, Павшино,4,Moscow region,1,23,14.5,3.5,4,5,Cosmetic
5800000,Secondary, Павшино,10,Moscow region,1,31,18,9.2,3,5,Cosmetic
6000000,Secondary, Павшино,4,Moscow region,1,23,14.5,3.5,4,5,Cosmetic
6100000,Secondary, Опалиха,7,Moscow region,1,30.5,14,9.5,13,25,European-style renovation
